"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","ETA1","Età","SEXISTAT1","Sesso","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","Y62","62 anni","9","totale","1974","1974",589450,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y63","63 anni","9","totale","1974","1974",596998,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y64","64 anni","9","totale","1974","1974",562361,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y65","65 anni","9","totale","1974","1974",554877,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y66","66 anni","9","totale","1974","1974",500255,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y67","67 anni","9","totale","1974","1974",485325,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y68","68 anni","9","totale","1974","1974",459548,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y69","69 anni","9","totale","1974","1974",438448,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y70","70 anni","9","totale","1974","1974",395963,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y71","71 anni","9","totale","1974","1974",392356,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y72","72 anni","9","totale","1974","1974",363887,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y73","73 anni","9","totale","1974","1974",355200,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y74","74 anni","9","totale","1974","1974",299460,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y75","75 anni","9","totale","1974","1974",272725,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y76","76 anni","9","totale","1974","1974",256087,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y77","77 anni","9","totale","1974","1974",230953,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y78","78 anni","9","totale","1974","1974",203210,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y79","79 anni","9","totale","1974","1974",185448,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y80","80 anni","9","totale","1974","1974",165311,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y81","81 anni","9","totale","1974","1974",149886,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y82","82 anni","9","totale","1974","1974",134465,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y83","83 anni","9","totale","1974","1974",119257,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y84","84 anni","9","totale","1974","1974",104433,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y85","85 anni","9","totale","1974","1974",78321,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y86","86 anni","9","totale","1974","1974",66506,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y87","87 anni","9","totale","1974","1974",55510,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y88","88 anni","9","totale","1974","1974",45463,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y89","89 anni","9","totale","1974","1974",36461,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y90","90 anni","9","totale","1974","1974",25176,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y91","91 anni","9","totale","1974","1974",19190,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y92","92 anni","9","totale","1974","1974",14236,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y93","93 anni","9","totale","1974","1974",10251,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y94","94 anni","9","totale","1974","1974",7132,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y95","95 anni","9","totale","1974","1974",4794,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y96","96 anni","9","totale","1974","1974",3098,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y97","97 anni","9","totale","1974","1974",1925,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y98","98 anni","9","totale","1974","1974",1140,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y99","99 anni","9","totale","1974","1974",645,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y_GE100","100 anni e più","9","totale","1974","1974",657,,
"IT","Italia","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","1974","1974",54928700,,
